prod_account_name,target_account_number,target_account_name,action,note
1000 - Application of Funds (Assets) - SF,1000,Assets,MAP,root group (structural)
1100-1600 - Current Assets - SF,1100,Current Assets,MAP,structural group
1100 - Cash In Hand - SF,1110,Cash In Hand,MAP,structural group
1110 - Cash - SF,1111,Petty Cash,MAP,
1200 - Bank Accounts - SF,1120,Bank Accounts,MAP,structural group
Bank Account - SF,1121,Operating Bank Account,MAP,ERPNext setup placeholder; real bank list lands in WI-042
1400 - Stock Assets - SF,1150,Inventory,MAP,structural group
1410 - Stock In Hand - SF,1151,Inventory On Hand,MAP,unused until WI-060 perpetual inventory
1500 - Tax Assets - SF,,,RETIRE,ERPNext standard-chart group; unused (no input-tax assets in US sales-tax regime)
1600 - Loans and Advances (Assets) - SF,1160,Other Current Assets,MAP,structural group
1610 - Employee Advances - SF,1161,Employee Advances,MAP,
1650 - Securities and Deposits - SF,1160,Other Current Assets,MAP,structural group
1651 - Earnest Money - SF,1163,Security Deposits & Earnest Money,MAP,
1700 - Fixed Assets - SF,1200,Fixed Assets,MAP,structural group
1710 - Capital Equipments - SF,1220,Machinery & Shop Equipment,MAP,ERPNext default; folded into machinery & shop equipment
1720 - Electronic Equipments - SF,1260,Computers & Electronics,MAP,
1730 - Furnitures and Fixtures - SF,1250,Office Furniture & Equipment,MAP,
1740 - Office Equipments - SF,1250,Office Furniture & Equipment,MAP,
1750 - Plants and Machineries - SF,1220,Machinery & Shop Equipment,MAP,ERPNext default; unused
1770 - Softwares - SF,1320,Software & Intangibles,MAP,
1790 - CWIP Account - SF,1280,Capital Work in Progress,MAP,
1800 - Investments - SF,,,RETIRE,ERPNext standard-chart group; no investment assets
1900 - Temporary Accounts - SF,1900,Temporary Accounts,MAP,structural group
1910 - Temporary Opening - SF,1910,Temporary Opening,MAP,the single Temporary-type account the opening tooling requires (WI-032)
Key Bank Checking - SF,1121,Operating Bank Account,MAP,placeholder until WI-042 creates the real per-bank leaves
Accumulated Amortization - SF,1390,Accumulated Amortization,MAP,
America First Auto Loan - SF,2210,Vehicle & Equipment Loans,MAP,QBO tracked this loan as a bank-type asset; reclassified to long-term liability - CPA to confirm at opening
America First Checking - SF,1121,Operating Bank Account,MAP,placeholder until WI-042 creates the real per-bank leaves
America First Savings - SF,1122,Savings Bank Account,MAP,placeholder until WI-042 creates the real per-bank leaves
Equipment (deleted) - SF,,,RETIRE,QBO '(deleted)' artifact
Fixed Assets - 11100 (deleted) - SF,,,RETIRE,QBO '(deleted)' artifact
Furniture and Office Equipment - SF,1250,Office Furniture & Equipment,MAP,
Goodwill - SF,1310,Goodwill,MAP,
Inventory Asset - SF,1151,Inventory On Hand,MAP,unused until WI-060 perpetual inventory
Inventory Asset (deleted) - SF,,,RETIRE,QBO '(deleted)' artifact
Inventory Asset (deleted-1) - SF,,,RETIRE,QBO '(deleted)' artifact
Key Bank Savings - SF,1122,Savings Bank Account,MAP,placeholder until WI-042 creates the real per-bank leaves
Key MM Savings - SF,1122,Savings Bank Account,MAP,placeholder until WI-042 creates the real per-bank leaves
Machinery and Equipment - SF,1220,Machinery & Shop Equipment,MAP,structural group
Rental Fountains - SF,1230,Event Rental Assets,MAP,OD-3 stream rename Rent->Events
Shop Equipment - SF,1220,Machinery & Shop Equipment,MAP,
Software Asset - SF,1320,Software & Intangibles,MAP,
Uncategorized Asset - SF,,,RETIRE,QBO auto-created catch-all; nothing should book here
Undeposited Funds - SF,1132,Undeposited Funds,MAP,
us (deleted) - SF,,,RETIRE,QBO '(deleted)' artifact
US Bank Checking - SF,1121,Operating Bank Account,MAP,placeholder until WI-042; likely closed - finance to confirm
US Bank Savings - SF,1122,Savings Bank Account,MAP,placeholder until WI-042; likely closed - finance to confirm
Vehicles - SF,1240,Vehicles & Trailers,MAP,
Warehouse Shelving & Storage. - SF,1270,Warehouse & Storage Equipment,MAP,
1780 - Accumulated Depreciation - SF,1290,Accumulated Depreciation,MAP,
1760 - Buildings - SF,1210,Buildings & Improvements,MAP,
1300 - Accounts Receivable - SF,1140,Receivables,MAP,structural group
